sim_id,income_shock,debt_shock,late_event_prob,auc_roc,f1,recall,precision,default_rate_pred,mean_pd
116,0.7729751883368272,1.2723928433926146,0.038219125104933895,0.8594289717230292,0.4035696579077838,0.6106526631657915,0.3013698630136986,0.13505,0.09212219292614791
117,0.9662329930196238,1.0838015732724113,0.05374846199611943,0.859735746064871,0.4229675952245594,0.5581395348837209,0.34050343249427917,0.10925,0.07792745795906672
118,0.9781083124617544,1.1397771225635576,0.04699007650834778,0.8602953625854902,0.41900527924423453,0.5656414103525882,0.3327449249779347,0.1133,0.0795360723048943
119,0.8292114895791658,1.1373058602114212,0.07330370515524945,0.8585737129091294,0.4091858037578288,0.5881470367591898,0.3137254901960784,0.12495,0.0869926541868645
120,0.8982649674957698,1.2573768247910369,0.016115318658282654,0.860280975316953,0.4119618458365558,0.5993998499624906,0.31382560879811466,0.1273,0.0876458060231155
121,0.9219471427411496,1.2829828585995138,0.028275979538812585,0.8599059016374602,0.4107744107744108,0.5948987246811703,0.3136867088607595,0.1264,0.08759142113590676
122,0.7768424450222556,1.124121323065822,0.026598150593852024,0.8605883725712591,0.4119198312236287,0.5858964741185296,0.3176087840585604,0.12295,0.08533697361357619
123,0.7268169356813582,1.0838288754520857,0.0734627076925148,0.8594524414571796,0.41164021164021164,0.5836459114778695,0.3179403351042092,0.12235,0.08532256362251765
124,0.9639349998271387,1.105623350548539,0.015944998248430726,0.8603479685478236,0.42167654530059273,0.5603900975243811,0.3380090497737557,0.1105,0.07784896296490568
125,0.7243136685582435,1.0200595327482063,0.028931222440232517,0.8600510603356629,0.4206393718452047,0.5626406601650412,0.33587102552619796,0.11165,0.07950224482156643
126,0.933142309845907,1.0882130093043074,0.0766525880343113,0.8597182040461097,0.41941747572815535,0.5671417854463616,0.33274647887323944,0.1136,0.08068090918868104
127,0.7426879898028639,1.1959644436978683,0.02120251915364203,0.8601343698543159,0.40735068912710565,0.5986496624156039,0.3087040618955513,0.12925,0.08870636747719746
128,0.9021016789874987,1.0117605936326366,0.028223497752939752,0.8612867780077822,0.42724097788125726,0.5506376594148538,0.3490252020922492,0.10515,0.07524234738942816
129,0.948267067923209,1.2532657019651114,0.03191719060365809,0.8605075145145636,0.4143195577783627,0.5903975993998499,0.3191403081914031,0.1233,0.08518404698306717
130,0.9037256787811019,1.1195688912022084,0.053752995035853304,0.8592850588497554,0.41321869962385815,0.5768942235558889,0.3218920050230222,0.11945,0.08299770812451873
131,0.963001101206074,1.1824747618739806,0.033540996371964074,0.8604866971818756,0.4188196899646451,0.5776444111027756,0.32849829351535836,0.1172,0.08165047034415225
132,0.7000242104660452,1.1571529299278764,0.01895139802432729,0.8603723425097448,0.41238709677419355,0.5993998499624906,0.3143194335169158,0.1271,0.08764297382031716
133,0.8709548996224751,1.295207901243733,0.02341089896161209,0.8593203237328322,0.40472006025608837,0.6046511627906976,0.3041509433962264,0.1325,0.09051116953480155
134,0.9643301721923005,1.1703654888130268,0.013045534265630062,0.8604344930985518,0.4200109950522265,0.5731432858214554,0.3314533622559653,0.11525,0.08044486637323821
135,0.7991325410686332,1.0994917072587898,0.05764726423919355,0.8599097194880495,0.4099576271186441,0.5806451612903226,0.3168235775685632,0.12215,0.08505834601471565
136,0.9843751983022628,1.3360702076975828,0.04592361621303294,0.8592812209052155,0.4129746835443038,0.5873968492123031,0.3184221228141521,0.12295,0.08497585035434357
137,0.8055501721453243,1.3467065335731354,0.03650140816539027,0.8591967057495342,0.4,0.6151537884471118,0.2963498373689917,0.13835,0.09348598508633858
